Learning Rate	Train Loss	Test Loss	TrainLoss Interior	TrainLoss Bndry	Trainloss Init	Trainloss Shock	
0.01000000	3.51926582	0.00052094	0.00031361	0.00058515	0.00254323	0.00004956	
0.01000000	3.28249738	0.00048893	0.00030895	0.00051920	0.00247017	0.00002758	
0.01000000	3.42852606	0.00078109	0.00030782	0.00054991	0.00250683	0.00006092	
0.01000000	3.75781136	0.00062704	0.00031196	0.00096472	0.00263750	0.00028810	
0.01000000	6.63582813	0.00516721	0.00033739	0.00489205	0.00388709	0.00247775	
0.01000000	7.34259034	0.00247734	0.00035711	0.00363897	0.00329541	0.00179904	
0.01000000	4.67058708	0.00092280	0.00034656	0.00191854	0.00283759	0.00063191	
0.01000000	3.49631957	0.00065786	0.00032487	0.00122303	0.00251982	0.00012512	
0.01000000	3.45057229	0.00045577	0.00030792	0.00111121	0.00242435	0.00021213	
0.01000000	3.26526470	0.00073519	0.00030479	0.00083385	0.00241439	0.00011510	
0.01000000	2.93221933	0.00072471	0.00030070	0.00088354	0.00219534	0.00005238	
0.01000000	3.20391616	0.00054366	0.00029705	0.00099569	0.00236420	0.00005346	
0.01000000	3.01891820	0.00042630	0.00029409	0.00084743	0.00220346	0.00003797	
0.01000000	3.10609201	0.00043185	0.00029082	0.00063365	0.00225038	0.00002824	
0.01000000	2.92376396	0.00040902	0.00029095	0.00049257	0.00221590	0.00002277	
0.01000000	2.97546188	0.00039900	0.00028807	0.00043948	0.00219003	0.00002178	
0.01000000	2.82739817	0.00037177	0.00028347	0.00040120	0.00218367	0.00001982	
0.01000000	2.85107399	0.00035635	0.00028219	0.00039202	0.00210303	0.00002025	
0.01000000	2.60711668	0.00036199	0.00028001	0.00033923	0.00193813	0.00002100	
0.01000000	3.00907234	0.00037128	0.00027686	0.00032672	0.00219266	0.00002086	
0.01000000	2.80586555	0.00033890	0.00027647	0.00028677	0.00208234	0.00002841	
0.01000000	2.70711795	0.00037145	0.00027448	0.00031323	0.00197937	0.00003624	
0.01000000	2.73583721	0.00027776	0.00027218	0.00027076	0.00216202	0.00003187	
0.01000000	2.60042871	0.00032826	0.00027037	0.00027012	0.00195926	0.00002530	
0.01000000	2.66363486	0.00027530	0.00026664	0.00024639	0.00196962	0.00002086	
0.01000000	2.60395313	0.00028938	0.00026759	0.00023859	0.00196436	0.00002768	
0.01000000	2.61806179	0.00031291	0.00026391	0.00028520	0.00198948	0.00002372	
0.01000000	2.57041496	0.00029928	0.00026284	0.00024050	0.00187237	0.00003362	
0.01000000	2.55450313	0.00034298	0.00026064	0.00024611	0.00188983	0.00002105	
0.01000000	2.49932681	0.00023663	0.00025798	0.00027094	0.00195575	0.00002931	
0.01000000	2.52842555	0.00023267	0.00025508	0.00024308	0.00194383	0.00003341	
0.01000000	2.59099609	0.00034809	0.00025433	0.00032139	0.00189035	0.00006958	
0.01000000	2.42297542	0.00021775	0.00025613	0.00033339	0.00188398	0.00004551	
0.01000000	2.74731057	0.00073246	0.00025209	0.00043901	0.00195380	0.00013493	
0.01000000	3.58778018	0.00041794	0.00026181	0.00134984	0.00225791	0.00051519	
0.01000000	3.19578282	0.00024653	0.00025530	0.00079615	0.00209697	0.00027961	
0.01000000	2.74400770	0.00071617	0.00025160	0.00053423	0.00192892	0.00011710	
0.01000000	2.72591540	0.00025335	0.00025177	0.00038926	0.00184448	0.00013446	
0.01000000	2.53344989	0.00023951	0.00024448	0.00044620	0.00182941	0.00011734	
0.01000000	2.59001255	0.00021750	0.00025005	0.00038387	0.00179932	0.00004270	
0.01000000	2.41913898	0.00040569	0.00024506	0.00035502	0.00183010	0.00006737	
0.01000000	2.37860920	0.00031091	0.00024328	0.00038046	0.00173143	0.00004416	
0.01000000	2.34678644	0.00023374	0.00024060	0.00026864	0.00168858	0.00002825	
0.01000000	2.21482284	0.00025901	0.00024037	0.00021879	0.00165454	0.00002129	
0.01000000	2.34103369	0.00032142	0.00024018	0.00022591	0.00173666	0.00002679	
0.01000000	2.42743951	0.00020228	0.00024060	0.00034384	0.00172085	0.00007397	
0.01000000	2.31987708	0.00050366	0.00023692	0.00034263	0.00168843	0.00008706	
0.01000000	2.85572087	0.00102523	0.00024044	0.00140321	0.00201329	0.00045554	
0.01000000	6.94478021	0.00217743	0.00025750	0.00549487	0.00383534	0.00224484	
0.01000000	4.29822469	0.00104508	0.00026042	0.00262425	0.00265207	0.00067104	
0.01000000	2.91005996	0.00030834	0.00025874	0.00132090	0.00192501	0.00034966	
0.01000000	2.52895096	0.00031626	0.00024474	0.00091863	0.00179224	0.00012867	
0.01000000	2.59184323	0.00023910	0.00023825	0.00082884	0.00179024	0.00018122	
0.01000000	2.29358253	0.00042046	0.00023826	0.00060931	0.00169940	0.00006839	
0.01000000	2.24286820	0.00046044	0.00023543	0.00063505	0.00171085	0.00004306	
0.01000000	2.20847802	0.00027517	0.00023129	0.00070835	0.00161059	0.00006254	
0.01000000	2.11139255	0.00022055	0.00023341	0.00055627	0.00165577	0.00003377	
0.01000000	2.30751499	0.00021898	0.00022902	0.00039015	0.00166570	0.00003856	
0.01000000	2.27143028	0.00025670	0.00022874	0.00035081	0.00161556	0.00003049	
0.01000000	2.07987939	0.00028503	0.00022434	0.00027634	0.00153938	0.00002415	
0.01000000	2.16389413	0.00022900	0.00022252	0.00027292	0.00159085	0.00002944	
0.01000000	2.06772126	0.00022648	0.00022024	0.00029694	0.00160885	0.00002379	
0.01000000	2.10092218	0.00020686	0.00022034	0.00022568	0.00153620	0.00002694	
0.01000000	2.03636814	0.00023513	0.00021781	0.00022651	0.00147425	0.00002072	
0.01000000	2.03861814	0.00020178	0.00022196	0.00023502	0.00154687	0.00002124	
0.01000000	2.01637150	0.00020305	0.00021867	0.00018115	0.00145781	0.00001851	
0.01000000	2.02203910	0.00019810	0.00022206	0.00016842	0.00149953	0.00002184	
0.01000000	2.04352506	0.00021378	0.00021934	0.00019730	0.00148287	0.00002503	
0.01000000	1.96091982	0.00018742	0.00021786	0.00015035	0.00144673	0.00002638	
0.01000000	1.88168626	0.00019342	0.00021669	0.00019351	0.00135811	0.00002159	
0.01000000	1.90746022	0.00017280	0.00022027	0.00014165	0.00144435	0.00002862	
0.01000000	1.93398703	0.00018274	0.00021194	0.00016389	0.00142975	0.00002386	
0.01000000	2.02567113	0.00017783	0.00021182	0.00014985	0.00148745	0.00002637	
0.01000000	1.91407260	0.00019876	0.00020900	0.00013216	0.00143639	0.00002729	
0.01000000	1.75720969	0.00022139	0.00020964	0.00016452	0.00130814	0.00002591	
